!exclamation-point|ʔ e k s k l ɐ m a ʃ o n p o ʔ ɪ n t
belgique's|b e l d͡ʒ i x e s
bellante|b e l j a n t e
bellerose|b e l l e ɾ o s e
bellmore|b e l m o ɾ e
belman|b e l m ɐ n
belvia|b e l b ɪ ɐ
bendectin|b e n d e k t ɪ n
benedetti|b e n e d e t ɪ
beneficial's|b e n e f ɪ ʃ a l s
bengston|b e ŋ s t o n
benihana(2)|b e n ɪ h a n ɐ ʔ
benjimen|b e n d͡ʒ i m e n
bennick|b e n n ɪ k
bentonite|b e n t o n i t e
benz(2)|b e n s
bergan|b e ɾ ɡ ɐ n
berhow|b e ɾ h o ʊ̯
berland|b e ɾ l ɐ n d
bernadin|b e ɾ n a d ɪ n
berning|b e ɾ n ɪ ŋ
berrong|b e ɾ o ŋ
bershad|b e ɾ s h a d
bertucci|b e ɾ t u k s ɪ
besiege|b e s ɪ e ɰ e
bessette|b e s e t e
bevmark|b e b m ɐ ɾ k
bhatia(2)|b h ɐ t͡ʃ a ʔ e
biasi|b ɪ ɐ s i ʔ
biber|b ɪ b e ɾ
bickerton|b ɪ k e ɾ t o n
bicyclists(2)|b ɪ s ɪ k l i s t s
bielinski|b j e l ɪ n s k i
bierma|b j e ɾ m ɐ
bijeljina|b ɪ d͡ʒ e l d͡ʒ i n ɐ
bil|b ɪ l
billows|b ɪ l j o ʊ̯ s
biomedicals|b ɪ o m e d ɪ x a l s
biosciences|b ɪ o s ʃ e n s e s
birley|b ɪ ɾ l e ɪ̯
bisque|b i s k e
bjerke|b d͡ʒ e ɾ k e
blackley|b l ɐ k l e ɪ̯
blackston|b l ɐ k s t o n
blaich|b l a ɪ̯ t͡ʃ
blandin|b l ɐ n d i n
blanke|b l ɐ ŋ k e
blau|b l a ʊ̯
blazek|b l ɐ s e k
blended(2)|b l e n d e d
bloat|b l o ʔ ɐ t
bloomed|b l ʊ m e d
blotnick|b l o t n ɪ k
blowy|b l o ʊ̯
bluffing|b l ʊ f f i ŋ
blundering|b l ʊ n d e ɾ ɪ ŋ
blyth|b l ɪ θ
boarda|b o ɐ ɾ d ɐ
boasts(2)|b o ɐ s t s
bobb|b o b b
bobcat|b o b k ɐ t
bodenstein|b o d e n s t e ʔ ɪ n
boeh|b o e h
boehning|b o e h n ɪ ŋ
boettcher|b o e t t͡ʃ e ɾ
bogeyed|b o ɰ e j e d
bogor|b o ɰ o ɾ
bohnhoff|b o h o f
bokassa|b o x a s ɐ
boles|b o l e s
bolin|b o l ɪ n
bolling|b o l l ɪ ŋ
boltzmann's|b o l t͡s m ɐ n n s
bombast|b u m b ɐ s t
bonnie's|b o n i e s
boondoggle|b ʊ n d o ɡ ɡ l e
boothe|b ʊ t h e
boozy|b ʊ ʔ o s ɪ
borelli|b o ɾ e l l ɪ
borsch|b o ɾ ʃ
borucki|b o ɾ u k ɪ
boshell|b o s h e l l
bosserman|b o s e ɾ m ɐ n
botanically|b o t a n ɪ x ɐ l i
bottoming|b o t o m ɪ ŋ
boudoin|b o ʊ̯ d o ʔ ɪ n
boule|b o ʊ̯ l e
boursicot|b o ʊ̯ ɾ s i x o t
bowden(2)|b o ʊ̯ d e n
bowsing|b o ʊ̯ s i ŋ
boyajian|b o j ɐ h ɪ ʔ a n
bradwell|b ɾ ɐ d w e l l
bragged|b ɾ ɐ ɡ ɡ e d
braidwood|b ɾ a ɪ̯ d w ʊ d
brakefield|b ɾ ɐ x e f i e l d
brammeier|b ɾ ɐ m e j e ɾ
brandeberry|b ɾ ɐ n d e b e ɾ ɾ ɪ
branon|b ɾ ɐ n o n
brasch|b ɾ a s k
brasseaux|b ɾ ɐ s o ʃ
brazile|b ɾ ɐ s i l e
bready|b ɾ e ɐ d ɪ
breaux(2)|b ɾ o ʃ
bredeson|b ɾ e d e s o n
breguet|b ɾ e ɰ e t
brekke|b ɾ e k e
brensinger|b ɾ e n s ɪ ŋ e ɾ
brewer's|b ɾ j u e ɾ s
brickhouse|b ɾ ɪ k h o ʊ̯ s
bridger|b ɾ ɪ d͡ʒ e ɾ
briefers|b ɾ i f e ɾ s
brigance|b ɾ ɪ ɰ a n s e
brimelow|b ɾ ɪ m e l o ʊ̯
brinkmann|b ɾ ɪ ŋ k m a n ə n
brisco|b ɾ i s k o
bristling(2)|b ɾ ɪ s t l i ŋ k
broaching|b ɾ o ɐ t͡ʃ i ŋ
brockington|b ɾ o k ɪ ŋ t o n
brodeur|b ɾ o d e ʊ̯ ɾ
brokaw|b ɾ o x a ʊ̯
broman|b ɾ o m ɐ n
bromont|b ɾ o m o n t
bronfmans|b ɾ o n f m ɐ n s
brooklyn(2)|b ɾ ʊ k l ɪ n
brosious|b ɾ o ʃ o ʊ̯ s
brougham|b ɾ o ʊ̯ ɡ h a m
brownish|b ɾ a ʊ̯ n ɪ ʃ
bruella|b ɾ ʊ e l l ɐ
bruising|b ɾ ʊ ʔ ɪ s i ŋ
brunet|b ɾ ʊ n e t
brushaber|b ɾ ʊ s h a b e ɾ
brutalized|b ɾ ʊ t ɐ l i s e d
bryen|b ɾ ɪ e n
buccola|b ʊ k o l ɐ
buchholtz|b ʊ t͡ʃ h o l t͡s
buckhorn|b ʊ k h o ɾ n
bucolic|b ʊ x o l ɪ k
budgeted(2)|b ʊ d͡ʒ e t e d
budyonnovsk|b ʊ d͡ʒ o n n o f s k
bufano|b ʊ f a n o
buffo|b ʊ f f o ʔ
bulat|b u l ɐ t
bumbling|b u m b l ɪ ŋ
bumpersticker|b u m p e ɾ s t ɪ k e ɾ
burg|b ʊ ɾ ɡ
burgomaster|b ʊ ɾ ɡ o m a s t e ɾ
burke's|b ʊ ɾ k e s
burlap|b ʊ ɾ l a p
burnaby|b ʊ ɾ n a b ɪ
burpee|b ʊ ɾ p e ʔ e
busboom|b ʊ s b o ʔ o m
bushels|b ʊ s h e l s
buthelezi's|b ʊ t h e l e s ɪ s
butrick|b ʊ t ɾ i k
butterworth|b ʊ t e ɾ w o ɾ θ
butzin|b ʊ t͡s i n
buxom|b ʊ ʃ o m
buzard|b ʊ s a ɾ d
bylund|b ɪ l u n d
cabrini's|k x ɐ b ɾ i n ɪ s
cajuns|k x ɐ h ʊ n s
calebs|k x a l e b s
calgon|k x ɐ l ɡ o n
califf|k x a l ɪ f f
calix(2)|k x ɐ l ɪ k s
callari|k x ɐ l l a ɾ ɪ
calmes|k x a l m e s
calveras|k x ɐ l b e ɾ ɐ s
camel's|k x ɐ m e l s
camped|k x ɐ m p e d
canal's|k x ɐ n a l s
canaries|k x ɐ n a ɾ ɪ e s
canevari|k x ɐ n e b a ɾ ɪ
canron|k x ɐ n ɾ o n
cantv|k x ɐ n t b
canwest|k x ɐ n w e s t
capacitor|k x ɐ p ɐ s ɪ t o ɾ
capitulated|k x ɐ p ɪ t ʊ l a t e d
captain's|k x ɐ p t a ʔ ɪ n s
careerism|k x ɐ ɾ e e ɾ ɪ s m
caressing|k x ɐ ɾ e s s ɪ ŋ
caricom's|k x ɐ ɾ ɪ x o m s
carjackings|k x ɐ ɾ d͡ʒ a k ɪ ŋ s
carloads|k x ɐ ɾ l o ʔ ɐ d s
carmack|k x ɐ ɾ m a k
carnegie's|k x ɐ ɾ n e ɰ i e s
carrara|k x ɐ ɾ a ɾ ɐ
carriages(2)|k x ɐ ɾ ɪ ɐ d͡ʒ e s
carrothers|k x ɐ ɾ o t h e ɾ s
cartera|k x ɐ ɾ t e ɾ ɐ
carwell|k x ɐ ɾ w e l l
caseze|k x ɐ s e s e
casso|k x ɐ s o
catalyzed|k x ɐ t ɐ l ɪ s e d
catapult|k x ɐ t a p ʊ l t
catcalls|k x ɐ t k a l l s
catlin|k x ɐ t l i n
caufield|k x a ʊ̯ f j e l d
cavanagh(2)|k x ɐ b ɐ n a ɡ h
cdebaca|k x d e b a x ɐ
ceausescu's|s e a ʊ̯ s e s k ʊ s
cedillo|s e d i l j o
celentano|s e l e n t a n o
celimene|s e l ɪ m e n e
celosia|s e l o s ɪ ɐ
centanni(2)|s e n t ɐ n n i
centrists|s e n t ɾ ɪ s t s
certainties|s e ɾ t ɐ ʔ ɪ n t͡ʃ e s
cessna's(2)|s e s n ɐ s
chadel|t͡ʃ ɐ d e l
challengery|t͡ʃ ɐ l l e ŋ e ɾ ɪ
channeled|t͡ʃ ɐ n e l e d
chapoton|t͡ʃ ɐ p o t o n
charades|t͡ʃ ɐ ɾ a d e s
charest|t͡ʃ ɐ ɾ e s t
charls|t͡ʃ ɐ ɾ l s
chatz's|t͡ʃ ɐ t͡s ɪ s
chauvinistic|t͡ʃ a ʊ̯ b ɪ n i s t ɪ k
chea|t͡ʃ e ɐ
chebrikov|t͡ʃ e b ɾ i x o b
checkouts|t͡ʃ e k a ʊ̯ t͡s
chemicals'|t͡ʃ e m ɪ k ɐ l s
chenette|t͡ʃ e n e t e
chenowitz|t͡ʃ e n o w ɪ t͡s
chesbro|t͡ʃ e s b ɾ o
cheviots|t͡ʃ e b ɪ o t͡ʃ
chiefdom|t͡ʃ ɪ e f d o m
childcare|t͡ʃ ɪ l d k a ɾ e
chimerine|t͡ʃ ɪ m e ɾ i n e
chipps|t͡ʃ ɪ p s
chism|t͡ʃ ɪ s m
chits|t͡ʃ ɪ t͡ʃ
choma|t͡ʃ o m ɐ
chontales|t͡ʃ o n t a l e s
chorba|t͡ʃ o ɾ b ɐ
chrisco|t͡ʃ ɾ i s k o
christophel|k x ɾ ɪ s t o p h e l
chunnel|t͡ʃ ʊ n n e l
churkin|t͡ʃ ʊ ɾ k i n
chutzpah|t͡ʃ ʊ t͡s p a h
cicco|s i k o
ciliberto|s ɪ l ɪ b e ɾ t o
cipri|s ɪ p ɾ i ʔ
circulated(2)|s ɪ ɾ k ʊ l a t e d
circumvents|s ɪ ɾ k u m b e n t s
cities'|s ɪ t͡ʃ e s
civitello|s ɪ b ɪ t e l l o
claffey|k x l ɐ f e ɪ̯
clamen|k x l ɐ m e n
clank|k x l ɐ ŋ k
claran|k x l a ɾ ɐ n
clarifying|k x l ɐ ɾ ɪ f j i ŋ
clarksburg|k x l ɐ ɾ k s b ʊ ɾ ɡ
clauser|k x l a ʊ̯ s e ɾ
claycomb|k x l a ɪ̯ x u m b
cleansed|k x l e ɐ n s e d
clendenning|k x l e n d e n n ɪ ŋ
clicker|k x l ɪ k e ɾ
closer(2)|k x l o s e ɾ
clothilda|k x l o t h i l d ɐ
clump|k x l u m p
clutches(2)|k x l ʊ t͡ʃ e s
coble|k x o b l e
coccaro|k x o k a ɾ o
cockeyed|k x o k e d
cockwell|k x o k w e l l
coday|k x o d a ɪ̯
cogenerator|k x o x e n e ɾ a t o ɾ
cohenour|k x o h e n o ʊ ɾ
coiffed|k x o ɪ̯ f f e d
cojuangco(2)|k x o h ʊ ɐ ŋ k o ʔ o
cole's|k x o l e s
coler|k x o l e ɾ
colgate's|k x o l ɡ a t e s
colombari|k x o l u m b a ɾ ɪ
colonnade|k x o l o n a d e
colwell|k x o l w e l l
combats|k x u m b ɐ t͡s
comically(2)|k x o m ɪ x ɐ l l ɪ
commanded(2)|k x u m ɐ n d e d
commonsense|k x u m m o n s e n s e
companionship|k x u m p ɐ ɲ o n s h ɪ p
compean|k x u m p e ɐ n
competes|k x u m p e t e s
compilers|k x u m p ɪ l e ɾ s
comptronix|k x u m p t ɾ o n ɪ k s
computer's|k x u m p j u t e ɾ s
comtrex|k x u m t ɾ e k s
conceive|k x o n s e i b e
concoction|k x o ŋ k o k t͡ʃ o n
condit|k x o n d ɪ t
condone|k x o n d o n e
confided|k x o n f ɪ d e d
conformity|k x o n f o ɾ m i t ɪ
congresspeople|k x o ŋ ɡ ɾ e s p e o p l e
conjectures(2)|k x o n d͡ʒ e k t ʃ ɾ e s
conlin|k x o n l ɪ n
connelly's|k x o n e l l ɪ s
conoco(2)|k x o n o x o
conrad's|k x o n ɾ a d s
consciously|k x o n ʃ o ʊ̯ s l i
consequently|k x o n s e x e n t l ɪ
consortia|k x o n s o ɾ t͡ʃ ɐ
consummate|k x o n s ʊ m m a t e
containerboard|k x o n t ɐ ʔ ɪ n e ɾ b o ɐ ɾ d
continually(2)|k x o n t ɪ n ʊ ɐ l j
convalescence|k x o m b ɐ l e s e n s e
converging|k x o m b e ɾ ɡ ɪ ŋ
cookston|k x ʊ k s t o n
coombes(2)|k x u m b e s
coppa|k x o p p ɐ
coppola's|k x o p o l ɐ s
copywrite|k x o p ɪ w ɾ i t e
corissa|k x o ɾ i s ɐ
cormen|k x o ɾ m e n
cornelious|k x o ɾ n e l j o ʊ s
cornie|k x o ɾ n i e
cornwell|k x o ɾ n w e l l
correlates(2)|k x o ɾ ɾ e l a t e s
corroborate|k x o ɾ ɾ o b o ɾ a t e
corsentino|k x o ɾ s e n t i n o
corvino|k x o ɾ b i n o
cossat|k x o s ɐ t
cotija|k x o t i h ɐ
cottee|k x o t e
countdowns|k x o ʊ̯ n t d a ʊ̯ n s
countered(2)|k x o ʊ̯ n t e ɾ e d͡ʒ
countermeasures(2)|k x o ʊ n t e ɾ m e ʒ u ɾ e s
counterrevolutionary(2)|k x o ʊ n t e ɾ ɾ e v o l u ʃ o n ɐ ɾ i
courses(2)|k x o ʊ̯ ɾ s e s s e
coverages(2)|k x o v e ɾ ɐ d͡ʒ e s
cowbells|k x o ʊ̯ b e l l s
crabtree|k x ɾ ɐ b t ɾ e ʔ e
crapo|k x ɾ ɐ p o
crawls|k x ɾ a ʊ̯ l s
creatologists|k x ɾ e ɐ t o l o ɰ ɪ s t s
creditwatch|k x ɾ e d ɪ t w a t͡ʃ
cregan|k x ɾ e ɰ ɐ n
criger|k x ɾ ɪ ɰ e ɾ
criminals'|k x ɾ ɪ m ɪ n a l s
crippled|k x ɾ ɪ p l e d
crishman's|k x ɾ ɪ ʃ m ɐ n s
criticizes|k x ɾ ɪ t ɪ s i s e s
crom|k x ɾ o m
crossett|k x ɾ o s e t
crough|k x ɾ o ʊ̯
crowing|k x ɾ o w ɪ ŋ
crudes|k x ɾ u d e s
cubic's|k x u b ɪ k s
cuckoo's|k x ʊ k o ʊ s
cudney|k x ʊ d n e ɪ̯
culled|k x u l l e d
cullom|k x ʊ l l o m
cultivate|k x ʊ l t ɪ b a t e
cumpston|k x u m p s t o n
cupit|k x u p ɪ t
curfman|k x ʊ ɾ f m a n
curriculums|k x ʊ ɾ ɾ ɪ x u l ʊ m s
